系列,机型,类型,版本,地址,大小
小米CC9/CC9 Pro/CC9e/美图定制版,小米CC9,稳定版,V12.5.5.0.RFCCNXM （MIUI11）,https://bigota.d.miui.com/V12.5.5.0.RFCCNXM/miui_PYXIS_V12.5.5.0.RFCCNXM_c3b5b178ff_11.0.zip,2.4G
小米CC9/CC9 Pro/CC9e/美图定制版,小米CC9 Pro,稳定版,V12.5.9.0.RFDCNXM （MIUI12）,https://bigota.d.miui.com/V12.5.9.0.RFDCNXM/miui_TUCANA_V12.5.9.0.RFDCNXM_34a090cd3a_11.0.zip,2.9G
小米CC9/CC9 Pro/CC9e/美图定制版,小米CC9e,稳定版,V12.5.5.0.QFMCNXM （MIUI11）,https://bigota.d.miui.com/V12.5.5.0.QFMCNXM/miui_LAURUS_V12.5.5.0.QFMCNXM_eb006da5b1_10.0.zip,2.7G
小米CC9/CC9 Pro/CC9e/美图定制版,小米CC9 美图定制版,稳定版,V12.5.5.0.RFECNXM （MIUI11）,https://bigota.d.miui.com/V12.5.5.0.RFECNXM/miui_VELA_V12.5.5.0.RFECNXM_494c77d7cf_11.0.zip,2.5G
Redmi K20/Pro,Redmi K20,稳定版,V12.5.2.0.RFJCNXM （MIUI12）,https://bigota.d.miui.com/V12.5.2.0.RFJCNXM/miui_DAVINCI_V12.5.2.0.RFJCNXM_8e20b56805_11.0.zip,2.5G
Redmi K20/Pro,Redmi K20 Pro,稳定版,V12.5.6.0.RFKCNXM （MIUI12）,https://bigota.d.miui.com/V12.5.6.0.RFKCNXM/miui_RAPHAEL_V12.5.6.0.RFKCNXM_f5fe3b4a6f_11.0.zip,2.7G
小米9 SE,小米9 SE,稳定版,V12.5.4.0.RFBCNXM （MIUI11）,https://bigota.d.miui.com/V12.5.4.0.RFBCNXM/miui_GRUS_V12.5.4.0.RFBCNXM_4c2e342d60_11.0.zip,2.5G
小米9 SE,小米9 SE,开发版,9.9.3 （MIUI10）,https://bigota.d.miui.com/9.9.3/miui_GRUS_9.9.3_22e12a913a_9.0.zip,2.3G
小米9/透明版/Pro 5G,小米9/透明版,稳定版,V12.5.6.0.RFACNXM （MIUI12）,https://bigota.d.miui.com/V12.5.6.0.RFACNXM/miui_CEPHEUS_V12.5.6.0.RFACNXM_5d1239a6d1_11.0.zip,2.6G
小米9/透明版/Pro 5G,小米9/透明版,开发版,9.8.22 （MIUI10）,https://bigota.d.miui.com/9.8.22/miui_CEPHEUS_9.8.22_aa27670572_10.0.zip,2.4G
小米9/透明版/Pro 5G,小米9 Pro 5G,稳定版,V12.5.3.0.RFXCNXM （MIUI12）,https://bigota.d.miui.com/V12.5.3.0.RFXCNXM/miui_CRUX_V12.5.3.0.RFXCNXM_190e6aea41_11.0.zip,2.7G
Redmi Note 7/Pro,Redmi Note 7,稳定版,V12.5.7.0.QFGCNXM （MIUI12）,https://bigota.d.miui.com/V12.5.7.0.QFGCNXM/miui_LAVENDER_V12.5.7.0.QFGCNXM_10b2f7da11_10.0.zip,2.3G
Redmi Note 7/Pro,Redmi Note 7 Pro,稳定版,V12.5.4.0.QFHCNXM （MIUI12）,https://bigota.d.miui.com/V12.5.4.0.QFHCNXM/miui_VIOLET_V12.5.4.0.QFHCNXM_8706bb89a6_10.0.zip,2.2G
小米Play,小米Play,稳定版,V11.0.8.0.OFICNXM （MIUI11）,https://bigota.d.miui.com/V11.0.8.0.OFICNXM/miui_MIPLAY_V11.0.8.0.OFICNXM_d82ce7bb30_8.1.zip,1.9G
小米Play,小米Play,开发版,9.9.2 （MIUI10）,https://bigota.d.miui.com/9.9.2/miui_MIPLAY_9.9.2_06af52cf3d_8.1.zip,1.9G
小米MIX 3,小米MIX 3,稳定版,V12.5.1.0.QEECNXM （MIUI12）,https://bigota.d.miui.com/V12.5.1.0.QEECNXM/miui_MIMIX3_V12.5.1.0.QEECNXM_b008b041ef_10.0.zip,2.3G
小米MIX 3,小米MIX 3,开发版,9.9.3 （MIUI10）,https://bigota.d.miui.com/9.9.3/miui_MIMIX3_9.9.3_a9dbc91c30_9.0.zip,2.3G
小米8青春版,小米8青春版,稳定版,V12.5.1.0.QDTCNXM （MIUI12）,https://bigota.d.miui.com/V12.5.1.0.QDTCNXM/miui_MI8Lite_V12.5.1.0.QDTCNXM_c02c6bcfb0_10.0.zip,2.0G
小米8青春版,小米8青春版,开发版,9.9.3 （MIUI10）,https://bigota.d.miui.com/9.9.3/miui_MI8Lite_9.9.3_cec06e7e18_9.0.zip,2.1G
小米Max 3,小米Max 3,稳定版,V12.5.1.0.QEDCNXM （MIUI11）,https://bigota.d.miui.com/V12.5.1.0.QEDCNXM/miui_MIMAX3_V12.5.1.0.QEDCNXM_31b6021352_10.0.zip,2.1G
小米Max 3,小米Max 3,开发版,9.9.3 （MIUI10）,https://bigota.d.miui.com/9.9.3/miui_MIMAX3_9.9.3_e29dd67c09_9.0.zip,2.0G
红米6 Pro,红米6 Pro,稳定版,V12.0.1.0.PDICNXM （MIUI11）,https://bigota.d.miui.com/V12.0.1.0.PDICNXM/miui_HM6Pro_V12.0.1.0.PDICNXM_81d8bc0ad2_9.0.zip,1.7G
红米6 Pro,红米6 Pro,开发版,9.9.3 （MIUI10）,https://bigota.d.miui.com/9.9.3/miui_HM6Pro_9.9.3_1201e8f9ea_9.0.zip,1.9G
小米平板4/Plus,小米平板4/Plus,稳定版,V10.3.2.0.ODJCNXM （MIUI10）,https://bigota.d.miui.com/V10.3.2.0.ODJCNXM/miui_MIPAD4_V10.3.2.0.ODJCNXM_371ac63e9e_8.1.zip,1.3G
小米平板4/Plus,小米平板4/Plus,开发版,9.8.29 （MIUI10）,https://bigota.d.miui.com/9.8.29/miui_MIPAD4_9.8.29_6647b25a58_8.1.zip,1.4G
Redmi红米6/红米6A/7,Redmi红米6,稳定版,V11.0.4.0.PCGCNXM （MIUI11）,https://bigota.d.miui.com/V11.0.4.0.PCGCNXM/miui_HM6_V11.0.4.0.PCGCNXM_8ab510b0e5_9.0.zip,1.8G
Redmi红米6/红米6A/7,Redmi红米6,开发版,9.9.3 （MIUI10）,https://bigota.d.miui.com/9.9.3/miui_HM6_9.9.3_da134d01c5_9.0.zip,1.7G
Redmi红米6/红米6A/7,Redmi红米6A,稳定版,V11.0.5.0.PCBCNXM （MIUI11）,https://bigota.d.miui.com/V11.0.5.0.PCBCNXM/miui_HM6A_V11.0.5.0.PCBCNXM_fb305209d9_9.0.zip,1.8G
Redmi红米6/红米6A/7,Redmi红米6A,开发版,9.9.3 （MIUI10）,https://bigota.d.miui.com/9.9.3/miui_HM6A_9.9.3_ccb1ec3484_9.0.zip,1.7G
Redmi红米6/红米6A/7,Redmi 7,稳定版,V12.5.3.0.QFLCNXM （MIUI11）,https://bigota.d.miui.com/V12.5.3.0.QFLCNXM/miui_ONCLITE_V12.5.3.0.QFLCNXM_a505375425_10.0.zip,2.0G
Redmi红米6/红米6A/7,Redmi 7A,稳定版,V12.5.5.0.QCMCNXM （MIUI11）,https://bigota.d.miui.com/V12.5.5.0.QCMCNXM/miui_PINE_V12.5.5.0.QCMCNXM_2f0b189397_10.0.zip,2.0G
红米S2,红米S2,稳定版,V12.0.4.0.PEFCNXM （MIUI11）,https://bigota.d.miui.com/V12.0.4.0.PEFCNXM/miui_HMS2_V12.0.4.0.PEFCNXM_b220c0a02e_9.0.zip,1.9G
红米S2,红米S2,开发版,9.2.28 （MIUI10）,https://bigota.d.miui.com/9.2.28/miui_HMS2_9.2.28_0138d72455_8.1.zip,1.4G
小米8 SE,小米8 SE,稳定版,V12.5.1.0.QEBCNXM （MIUI11）,https://bigota.d.miui.com/V12.5.1.0.QEBCNXM/miui_MI8SE_V12.5.1.0.QEBCNXM_d9815dfb66_10.0.zip,2.0G
小米8 SE,小米8 SE,开发版,9.9.3 （MIUI10）,https://bigota.d.miui.com/9.9.3/miui_MI8SE_9.9.3_a9d719f08b_9.0.zip,1.9G
小米8/探索版/屏幕指纹版,小米8,稳定版,V12.5.2.0.QEACNXM （MIUI12）,https://bigota.d.miui.com/V12.5.2.0.QEACNXM/miui_MI8_V12.5.2.0.QEACNXM_f5ec813d1c_10.0.zip,2.1G
小米8/探索版/屏幕指纹版,小米8,开发版,9.9.3 （MIUI10）,https://bigota.d.miui.com/9.9.3/miui_MI8_9.9.3_0fb85e6431_9.0.zip,2.2G
小米8/探索版/屏幕指纹版,小米8探索版,稳定版,V12.5.3.0.QEHCNXM （MIUI11）,https://bigota.d.miui.com/V12.5.3.0.QEHCNXM/miui_MI8Explorer_V12.5.3.0.QEHCNXM_f74f11c229_10.0.zip,2.2G
小米8/探索版/屏幕指纹版,小米8探索版,开发版,9.9.3 （MIUI10）,https://bigota.d.miui.com/9.9.3/miui_MI8Explorer_9.9.3_38cd89d21c_9.0.zip,2.2G
小米8/探索版/屏幕指纹版,小米8屏幕指纹版,稳定版,V12.5.2.0.QECCNXM （MIUI11）,https://bigota.d.miui.com/V12.5.2.0.QECCNXM/miui_MI8UD_V12.5.2.0.QECCNXM_c300f2cfad_10.0.zip,2.1G
小米8/探索版/屏幕指纹版,小米8屏幕指纹版,开发版,9.9.3 （MIUI10）,https://bigota.d.miui.com/9.9.3/miui_MI8UD_9.9.3_03f07e3d60_9.0.zip,2.1G
小米6X,小米6X,稳定版,V12.0.2.0.PDCCNXM （MIUI11）,https://bigota.d.miui.com/V12.0.2.0.PDCCNXM/miui_MI6X_V12.0.2.0.PDCCNXM_7c0078f6ae_9.0.zip,1.9G
小米6X,小米6X,开发版,9.9.3 （MIUI10）,https://bigota.d.miui.com/9.9.3/miui_MI6X_9.9.3_3ad06bc283_9.0.zip,2.0G
小米MIX 2S,小米MIX 2S,稳定版,V12.5.1.0.QDGCNXM （MIUI12）,https://bigota.d.miui.com/V12.5.1.0.QDGCNXM/miui_MIMIX2S_V12.5.1.0.QDGCNXM_8326b14c82_10.0.zip,2.0G
小米MIX 2S,小米MIX 2S,开发版,9.9.3 （MIUI10）,https://bigota.d.miui.com/9.9.3/miui_MIMIX2S_9.9.3_f81fcc2242_9.0.zip,2.1G
红米Note 5,红米Note 5,稳定版,V12.0.3.0.PEICNXM （MIUI11）,https://bigota.d.miui.com/V12.0.3.0.PEICNXM/miui_HMNote5_V12.0.3.0.PEICNXM_5cb7befde7_9.0.zip,1.9G
红米Note 5,红米Note 5,开发版,9.9.3 （MIUI10）,https://bigota.d.miui.com/9.9.3/miui_HMNote5_9.9.3_d6316ce86a_9.0.zip,1.9G
红米5 Plus,红米5 Plus,稳定版,V11.0.3.0.OEGCNXM （MIUI11）,https://bigota.d.miui.com/V11.0.3.0.OEGCNXM/miui_HM5Plus_V11.0.3.0.OEGCNXM_e47aba1020_8.1.zip,1.5G
红米5 Plus,红米5 Plus,开发版,9.9.2 （MIUI10）,https://bigota.d.miui.com/9.9.2/miui_HM5Plus_9.9.2_38e86b99ac_8.1.zip,1.5G
红米5,红米5,稳定版,V11.0.4.0.ODACNXM （MIUI11）,https://bigota.d.miui.com/V11.0.4.0.ODACNXM/miui_HM5_V11.0.4.0.ODACNXM_010a5305c2_8.1.zip,1.5G
红米5,红米5,开发版,9.9.2 （MIUI10）,https://bigota.d.miui.com/9.9.2/miui_HM5_9.9.2_27258193f0_8.1.zip,1.5G
红米5A,红米5A,稳定版,V11.0.6.0.OCKCNXM （MIUI11）,https://bigota.d.miui.com/V11.0.6.0.OCKCNXM/miui_HM5A_V11.0.6.0.OCKCNXM_65b36755c0_8.1.zip,1.5G
红米5A,红米5A,开发版,9.8.29 （MIUI10）,https://bigota.d.miui.com/9.8.29/miui_HM5A_9.8.29_16ed827f94_8.1.zip,1.5G
小米MIX 2,小米MIX 2,稳定版,V12.0.1.0.PDECNXM （MIUI11）,https://bigota.d.miui.com/V12.0.1.0.PDECNXM/miui_MIMIX2_V12.0.1.0.PDECNXM_ba60e4bd60_9.0.zip,2.0G
小米MIX 2,小米MIX 2,开发版,9.9.3 （MIUI10）,https://bigota.d.miui.com/9.9.3/miui_MIMIX2_9.9.3_a85d90587c_9.0.zip,1.8G
小米Note 3,小米Note 3,稳定版,V12.0.1.0.PCHCNXM （MIUI11）,https://bigota.d.miui.com/V12.0.1.0.PCHCNXM/miui_MINote3_V12.0.1.0.PCHCNXM_b412afcc14_9.0.zip,2.1G
小米Note 3,小米Note 3,开发版,9.9.3 （MIUI10）,https://bigota.d.miui.com/9.9.3/miui_MINote3_9.9.3_8d6a39bce1_9.0.zip,1.8G
红米Note 5A,红米Note 5A 标准版,稳定版,V11.0.2.0.NDFCNXM （MIUI11）,https://bigota.d.miui.com/V11.0.2.0.NDFCNXM/miui_HMNote5ALITE_V11.0.2.0.NDFCNXM_531a889895_7.1.zip,1.4G
红米Note 5A,红米Note 5A 标准版,开发版,9.8.29 （MIUI10）,https://bigota.d.miui.com/9.8.29/miui_HMNote5ALITE_9.8.29_aa358ff714_7.1.zip,1.5G
红米Note 5A,红米Note 5A 高配版,稳定版,V11.0.1.0.NDKCNXM （MIUI11）,https://bigota.d.miui.com/V11.0.1.0.NDKCNXM/miui_HMNote5A_V11.0.1.0.NDKCNXM_34686dccfa_7.1.zip,1.5G
红米Note 5A,红米Note 5A 高配版,开发版,9.8.29 （MIUI10）,https://bigota.d.miui.com/9.8.29/miui_HMNote5A_9.8.29_598a45ec9b_7.1.zip,1.5G
小米5X,小米5X,稳定版,V11.0.3.0.ODBCNXM （MIUI11）,https://bigota.d.miui.com/V11.0.3.0.ODBCNXM/miui_MI5X_V11.0.3.0.ODBCNXM_704b2e39b0_8.1.zip,1.5G
小米5X,小米5X,开发版,9.8.29 （MIUI10）,https://bigota.d.miui.com/9.8.29/miui_MI5X_9.8.29_9c43b3cd13_8.1.zip,1.6G
小米Max 2,小米Max 2,稳定版,V11.0.2.0.NDDCNXM （MIUI11）,https://bigota.d.miui.com/V11.0.2.0.NDDCNXM/miui_MIMAX2_V11.0.2.0.NDDCNXM_192ff3e011_7.1.zip,1.9G
小米Max 2,小米Max 2,开发版,9.8.29 （MIUI10）,https://bigota.d.miui.com/9.8.29/miui_MIMAX2_9.8.29_a0ca14d327_7.1.zip,1.8G
小米6,小米6,稳定版,V11.0.5.0.PCACNXM （MIUI11）,https://bigota.d.miui.com/V11.0.5.0.PCACNXM/miui_MI6_V11.0.5.0.PCACNXM_996ffd2660_9.0.zip,1.7G
小米6,小米6,开发版,9.9.3 （MIUI10）,https://bigota.d.miui.com/9.9.3/miui_MI6_9.9.3_c36a83d27e_9.0.zip,1.7G
小米平板3,小米平板3,稳定版,V10.2.1.0.NCICNXM （MIUI10）,https://bigota.d.miui.com/V10.2.1.0.NCICNXM/miui_MIPAD3_V10.2.1.0.NCICNXM_b3ef80b9e2_7.0.zip,1.1G
小米平板3,小米平板3,开发版,9.8.29 （MIUI10）,https://bigota.d.miui.com/9.8.29/miui_MIPAD3_9.8.29_7a8c59b59e_7.0.zip,1.1G
红米4X,红米4X,稳定版,V11.0.1.0.NAMCNXM （MIUI11）,https://bigota.d.miui.com/V11.0.1.0.NAMCNXM/miui_HM4X_V11.0.1.0.NAMCNXM_7e7448fe6d_7.1.zip,1.5G
红米4X,红米4X,开发版,9.8.29 （MIUI10）,https://bigota.d.miui.com/9.8.29/miui_HM4X_9.8.29_72dee00fc2_7.1.zip,1.6G
小米5c,小米5c,稳定版,V11.0.3.0.NCJCNXM （MIUI11）,https://bigota.d.miui.com/V11.0.3.0.NCJCNXM/miui_MI5C_V11.0.3.0.NCJCNXM_98c238d066_7.1.zip,1.3G
小米5c,小米5c,开发版,9.8.29 （MIUI10）,https://bigota.d.miui.com/9.8.29/miui_MI5C_9.8.29_2d9b3e0799_7.1.zip,1.3G
红米Note 4X,红米Note 4X(高通平台),稳定版,V11.0.2.0.NCFCNXM （MIUI11）,https://bigota.d.miui.com/V11.0.2.0.NCFCNXM/miui_HMNote4X_V11.0.2.0.NCFCNXM_8e61b3fb88_7.0.zip,1.5G
红米Note 4X,红米Note 4X(高通平台),开发版,9.8.29 （MIUI10）,https://bigota.d.miui.com/9.8.29/miui_HMNote4X_9.8.29_362b2b9edd_7.0.zip,1.6G
红米Note 4X,红米Note 4X(MTK平台),稳定版,V10.2.2.0.MBFCNXM （MIUI10）,https://bigota.d.miui.com/V10.2.2.0.MBFCNXM/miui_HMNote4_V10.2.2.0.MBFCNXM_e09e80fca4_6.0.zip,1.4G
红米Note 4X,红米Note 4X(MTK平台),开发版,9.3.21 （MIUI10）,https://bigota.d.miui.com/9.3.21/miui_HMNote4_9.3.21_a1683494d2_6.0.zip,1.4G
红米4A,红米4A,稳定版,V10.2.2.0.MCCCNXM （MIUI10）,https://bigota.d.miui.com/V10.2.2.0.MCCCNXM/miui_HM4A_V10.2.2.0.MCCCNXM_852aa3d7a2_6.0.zip,1.5G
红米4A,红米4A,开发版,9.3.28 （MIUI10）,https://bigota.d.miui.com/9.3.28/miui_HM4A_9.3.28_e5892dd522_6.0.zip,1.4G
红米4,红米4标准版,稳定版,V10.2.2.0.MCECNXM （MIUI10）,https://bigota.d.miui.com/V10.2.2.0.MCECNXM/miui_HM4_V10.2.2.0.MCECNXM_d4251f8a27_6.0.zip,1.5G
红米4,红米4标准版,开发版,9.3.28 （MIUI10）,https://bigota.d.miui.com/9.3.28/miui_HM4_9.3.28_9952a83160_6.0.zip,1.4G
红米4,红米4高配版,稳定版,V10.2.2.0.MBECNXM （MIUI10）,https://bigota.d.miui.com/V10.2.2.0.MBECNXM/miui_HM4Pro_V10.2.2.0.MBECNXM_988d0d76c0_6.0.zip,1.5G
红米4,红米4高配版,开发版,9.3.28 （MIUI10）,https://bigota.d.miui.com/9.3.28/miui_HM4Pro_9.3.28_cc2d21bcba_6.0.zip,1.4G
小米MIX,小米MIX,稳定版,V11.0.2.0.OAHCNXM （MIUI11）,https://bigota.d.miui.com/V11.0.2.0.OAHCNXM/miui_MIMIX_V11.0.2.0.OAHCNXM_4b2fbb5687_8.0.zip,1.7G
小米MIX,小米MIX,开发版,9.8.29 （MIUI10）,https://bigota.d.miui.com/9.8.29/miui_MIMIX_9.8.29_574004787f_8.0.zip,1.7G
小米Note 2,小米Note 2,稳定版,V11.0.2.0.OADCNXM （MIUI11）,https://bigota.d.miui.com/V11.0.2.0.OADCNXM/miui_MINote2_V11.0.2.0.OADCNXM_7224e431a4_8.0.zip,1.8G
小米Note 2,小米Note 2,开发版,9.8.29 （MIUI10）,https://bigota.d.miui.com/9.8.29/miui_MINote2_9.8.29_94f47c73e3_8.0.zip,1.7G
小米5s Plus,小米5s Plus,稳定版,V11.0.2.0.OBGCNXM （MIUI11）,https://bigota.d.miui.com/V11.0.2.0.OBGCNXM/miui_MI5SPlus_V11.0.2.0.OBGCNXM_a423c56184_8.0.zip,1.7G
小米5s Plus,小米5s Plus,开发版,9.8.29 （MIUI10）,https://bigota.d.miui.com/9.8.29/miui_MI5SPlus_9.8.29_339fb2abdc_8.0.zip,1.6G
小米5s,小米5s,稳定版,V11.0.2.0.OAGCNXM （MIUI11）,https://bigota.d.miui.com/V11.0.2.0.OAGCNXM/miui_MI5S_V11.0.2.0.OAGCNXM_6ce204eb2c_8.0.zip,1.7G
小米5s,小米5s,开发版,9.8.29 （MIUI10）,https://bigota.d.miui.com/9.8.29/miui_MI5S_9.8.29_ef993ddd7f_8.0.zip,1.6G
红米Note 4,红米Note 4,稳定版,V10.2.2.0.MBFCNXM （MIUI10）,https://bigota.d.miui.com/V10.2.2.0.MBFCNXM/miui_HMNote4_V10.2.2.0.MBFCNXM_e09e80fca4_6.0.zip,1.4G
红米Note 4,红米Note 4,开发版,9.3.21 （MIUI10）,https://bigota.d.miui.com/9.3.21/miui_HMNote4_9.3.21_a1683494d2_6.0.zip,1.4G
红米Pro,红米Pro,稳定版,V10.2.1.0.MHQCNXM （MIUI10）,https://bigota.d.miui.com/V10.2.1.0.MHQCNXM/miui_HMPro_V10.2.1.0.MHQCNXM_45fe42a556_6.0.zip,1.3G
红米Pro,红米Pro,开发版,9.3.28 （MIUI10）,https://bigota.d.miui.com/9.3.28/miui_HMPro_9.3.28_beb6cee01a_6.0.zip,1.3G
红米3S/3X,红米3S/3X,稳定版,V10.2.2.0.MALCNXM （MIUI10）,https://bigota.d.miui.com/V10.2.2.0.MALCNXM/miui_HM3S_V10.2.2.0.MALCNXM_6fb1d75d0f_6.0.zip,1.4G
红米3S/3X,红米3S/3X,开发版,9.3.28 （MIUI10）,https://bigota.d.miui.com/9.3.28/miui_HM3S_9.3.28_4a8a385746_6.0.zip,1.4G
小米Max,小米Max-全网通版,稳定版,V10.3.2.0.NBCCNXM （MIUI10）,https://bigota.d.miui.com/V10.3.2.0.NBCCNXM/miui_MIMAX_V10.3.2.0.NBCCNXM_a513f4849b_7.0.zip,1.4G
小米Max,小米Max-全网通版,开发版,9.2.28 （MIUI10）,https://bigota.d.miui.com/9.2.28/miui_MIMAX_9.2.28_af1c778ee6_7.0.zip,1.4G
小米Max,小米Max-高配全网通版,稳定版,V10.3.2.0.NBDCNXM （MIUI10）,https://bigota.d.miui.com/V10.3.2.0.NBDCNXM/miui_MIMAX652_V10.3.2.0.NBDCNXM_32b621a37f_7.0.zip,1.4G
小米Max,小米Max-高配全网通版,开发版,9.2.28 （MIUI10）,https://bigota.d.miui.com/9.2.28/miui_MIMAX652_9.2.28_43e4a1aa44_7.0.zip,1.4G
小米4S,小米4S,稳定版,V10.1.1.0.NAJCNFI （MIUI10）,https://bigota.d.miui.com/V10.1.1.0.NAJCNFI/miui_MI4s_V10.1.1.0.NAJCNFI_a6d5e5489a_7.0.zip,1.1G
